***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 13,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,1600,,,,,,Start Wavelength (nm):,1600,,,,,,,
End Wavelength (nm):,2400,,,,,,End Wavelength (nm):,2400,,,,,,,
Pattern Width (nm):,9,,,,,,Pattern Width (nm):,9,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,30,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,32,(FixedPGA),,,,,PGA Gain:,32,(FixedPGA),,,,,,
System Temp (C):,35.02,,,,,,System Temp (C):,34.64,,,,,,,
Humidity (%):,45.56,,,,,,Humidity (%):,45.87,,,,,,,
Lamp ADC:,No Built-In Lamp,,,,,,Lamp ADC:,No Built-In Lamp,,,,,,,
Data Date-Time:,2024/08/12T11:26:08,,,,,,Data Date-Time:,2024/08/12T11:21:46,,,,,,,
Total Measurement Time in sec:,8.8820591,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-F320,,,,,,Shift Vector Coefficients:,-13.16504,0.115654,-0.000253331,,,,,
Serial Number:,C11FP001,(95UB118G01VC11FP001),,,,,Pixel to Wavelength Coefficients:,2448.50639205426,-0.776432367151677,-0.000271852860897438,,,,,
GUI Version:,3.12.5,Revision:,718,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,5.1.1,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,10hr 22min 56sec ,,,,,,,
UUID:,DE:67:0C:88:67:70:83:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,O,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,N,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1600.78194280149,1.35283935278218,2634862,116928
1604.48382499761,1.34656040277044,2620274,117974
1609.41205604568,1.33170426036324,2595174,120910
1613.10252042165,1.32378206771665,2569634,121924
1618.0155277095,1.31538577819641,2528060,122293
1621.69457426531,1.30691367996041,2497041,123172
1626.59235779295,1.29981395324052,2457948,123242
1630.25998652861,1.29408026190139,2429844,123452
1633.92272191276,1.2860218596746,2402311,124339
1638.79875721153,1.28059747694093,2366711,124036
1642.45007477553,1.27392862522134,2339628,124514
1647.31088631409,1.26914510826193,2300396,123782
1650.95078605793,1.26667999031677,2269377,122808
1655.79637383629,1.25954670697174,2224754,122387
1659.42485575997,1.25493609310891,2189911,121756
1664.25521977811,1.25297588741325,2144973,119797
1667.87228388164,1.24939598097803,2112359,118952
1671.48445463367,1.2489717105441,2077547,117106
1676.29307042293,1.2444265533212,2030830,115677
1679.89382335481,1.24253676495471,1996684,114228
1684.68721538386,1.24485048133891,1950975,111020
1688.27655049558,1.24299800583403,1919608,109702
1693.05471876443,1.24409865048624,1880166,107176
1696.63263605598,1.24574715590568,1849632,105036
1701.39558056462,1.24764503275717,1806972,102166
1704.96208003602,1.25110503685839,1777925,99726
1708.52368615592,1.24855329193685,1750849,98786
1713.26488243569,1.25465914463472,1712997,95301
1716.81507073543,1.25756647276484,1686177,93183
1721.54104325499,1.26125237361873,1644851,90131
1725.07981373458,1.2641590799676,1614137,87858
1729.79056249392,1.26954040192907,1575408,84694
1733.31791515335,1.27118064399998,1544829,82737
1738.01344015249,1.27779564698125,1505295,79401
1741.52937499176,1.27631750459582,1476601,78153
1746.20967623068,1.27929418355171,1442165,75809
1749.7141932498,1.28526206642868,1420479,73650
1753.21381691742,1.29119847650177,1395391,71367
1757.87236992747,1.29758726235145,1361405,68612
1761.36057577493,1.30628061208503,1335752,65985
1766.00390502477,1.31883966283886,1300138,62395
1769.48069305208,1.32355739947828,1274884,60522
1774.10879854171,1.32467840106125,1241875,58803
1777.57416874885,1.33297225955831,1217880,56576
1782.18705047828,1.34092998240099,1187344,54156
1785.64100286526,1.33819175197662,1166330,53534
1789.09006190076,1.34393332075642,1144763,51854
1793.68119540131,1.34179030194063,1115864,50795
1797.11883661664,1.34207570610238,1092263,49688
1801.69474635698,1.33916430412443,1063086,48686
1805.12096975216,1.34268613214005,1042156,47342
1809.68165573229,1.33651194449786,1013208,46686
1813.0964613073,1.33646174692933,992389,45732
1817.64192352722,1.32928325665517,962823,45109
1821.04531128209,1.33553899981718,942319,43517
1824.44380568545,1.33515991706544,923994,42708
1828.9675196765,1.33547126981664,899845,41562
1832.3545962597,1.33011282541056,880556,41176
1836.86308649054,1.33848349669239,852433,39100
1840.23874525359,1.34168516766247,831946,37880
1844.73201172422,1.35400849782366,806431,35691
1848.09625266711,1.36349961451687,789908,34204
1852.57429537753,1.39153393972258,769860,31252
1855.92711850026,1.4121985427139,756044,29265
1859.2750482715,1.44264070168271,743605,26835
1863.73134275304,1.48346449480711,730015,23981
1867.06785470412,1.52909338514161,716412,21187
1871.50892542546,1.6068445963037,699585,17298
1874.83401955638,1.70020556571039,689208,13745
1879.25986651751,1.83769153799912,680800,9893
1882.57354282827,2.01085803295718,678247,6615
1886.98416602918,2.20655688495733,671437,4173
1890.28642451979,2.3451012353791,665190,3005
1893.5837896589,2.61488467474775,657945,1597
1897.97266463095,2.57109080362928,648842,1742
1901.2586119499,2.8686606872686,641476,868
1905.63226316173,3.039298452464,638215,583
1908.90679266053,2.74828946674162,637989,1139
1913.26522011215,NaN,637298,-47
1916.52833179079,NaN,639604,-89
1920.8715354822,3.21845883006877,639985,387
1924.12322934068,2.7903129122955,641721,1040
1928.45120927188,2.98211928943578,645854,673
1931.6914853102,3.12209211095951,649065,490
1934.92686799703,3.15687451565506,652959,455
1939.23309969936,2.7661847330342,656655,1125
1942.45706456603,3.10481065517273,660660,519
1946.74807250815,2.79557606752593,667033,1068
1949.96061955466,3.11301674502579,673262,519
1954.23640373657,2.88833889424791,681263,881
1957.43753296292,3.213650548461,686910,420
1961.69809338462,3.08485052336157,695419,572
1964.88780479081,2.99737464250792,702739,707
1968.07262284551,2.82669557673467,709203,1057
1972.31143503834,3.28810634243987,720245,371
1975.48483527288,3.05795078250042,727931,637
1979.7084237055,3.37472949064344,737038,311
1982.87040611988,2.99652916035826,745022,751
1987.07877079229,2.89663354572795,752726,955
1990.22933538652,3.12637524643549,757167,566
1994.42247629871,2.95457749972774,766491,851
1997.56162307278,2.69163557399447,773329,1573
2000.69587649535,3.29720652393682,781093,394
2004.86726917868,2.92915076669728,791711,932
2007.99010478109,2.8708811409477,798527,1075
2012.14627370421,2.79418151419318,808706,1299
2015.25769148646,3.37587894184556,815029,343
2019.39863664937,2.71572047762027,825742,1589
2022.49863661147,2.9071279668058,834927,1034
2026.62435801416,2.70899912066385,844785,1651
2029.7129401561,2.84987655974223,850709,1202
2032.79662894655,2.67277661201647,854855,1816
2036.90060212037,2.52262155873316,859824,2581
2039.97287309066,2.54072201548731,864464,2489
2044.06162250427,2.60059428859408,870258,2183
2047.1224756544,2.68839449351126,874445,1792
2051.1960013078,2.42713660323782,889589,3327
2054.24543663777,2.44874896654515,896197,3189
2058.30373853096,2.35972842541967,888301,3880
2061.34175604078,2.3259410005505,894886,4225
2065.38483417376,2.37255967635422,919182,3898
2068.41143386342,2.29171759072801,919667,4698
2071.43314020158,2.24715303206281,914600,5177
2075.45447010569,2.18294552947804,924984,6070
2078.46475862369,2.24000349869753,932859,5368
2082.47086476759,2.12607737446279,933912,6986
2085.46973546543,2.10938693549546,936780,7282
2089.46061784912,2.09581841177827,933775,7489
2092.44807072681,2.04881107799744,934436,8351
2096.42372935029,2.01676891993761,940835,9052
2099.39976440782,1.99209177834646,943070,9604
2102.37090611385,1.99336669994909,943085,9576
2106.32481650846,1.96592389366549,947742,10251
2109.28454039434,1.95357655602328,945529,10522
2113.22322702873,1.90445986790377,944655,11771
2116.17153309445,1.87691625524686,946936,12572
2120.09499596864,1.89353117601497,945988,12088
2123.0318842142,1.84594909639409,948046,13517
2126.94012332817,1.81540394114264,951320,14552
2129.86559375358,1.81320785187621,950034,14606
2132.78617082748,1.79795854625242,949722,15123
2136.67266171259,1.77229081984725,953289,16104
2139.58182096634,1.76982649121352,951721,16169
2143.45308809123,1.74768712030106,954035,17056
2146.35082952482,1.73467586886496,954213,17578
2150.20687288951,1.70715092793311,950487,18655
2153.09319650294,1.70685969710856,948526,18629
2156.93401610741,1.69377821673298,945430,19136
2159.80892190069,1.69328034073157,942965,19108
2162.67893434247,1.66036686497732,940842,20566
2166.49800571807,1.65814491540434,938544,20621
2169.35660033969,1.64877274945982,932716,20940
2173.16044795509,1.64154719129486,928322,21191
2176.00762475655,1.63004189405699,927516,21741
2179.79624861173,1.62587222825451,923217,21849
2182.63200759304,1.62754183436451,922192,21741
2186.40540768801,1.60716995350116,919111,22709
2189.22974884916,1.59481832289683,912851,23205
2192.04919665881,1.58811371318099,905568,23378
2195.80084852491,1.58617171442644,897440,23272
2198.60887851441,1.58059770785771,889041,23352
2202.3453066203,1.55518931252386,878629,24469
2205.14191878963,1.558136994823,871851,24116
2208.86312313531,1.57160078998122,861714,23108
2211.64831748449,1.5718647660639,854626,22904
2215.35429806996,1.55596644198374,847432,23558
2218.12807459898,1.55251235215469,841611,23583
2221.81883142424,1.54942289129043,834157,23541
2224.5811901331,1.55733006814439,831477,23042
2227.33865549047,1.55317243783901,828809,23189
2231.00766408686,1.55689101513623,822634,22820
2233.75371162407,1.54962236466182,818942,23101
2237.40749646025,1.55188795975551,815528,22885
2240.1421261773,1.56099163944547,811151,22290
2243.78068725327,1.56521894860348,805893,21931
2246.50389915016,1.56156592246465,802568,22025
2250.12723646592,1.57479282237759,794517,21150
2252.83903054265,1.56752856201308,789059,21359
2255.54593126789,1.58051687094047,785417,20634
2259.14752035478,1.57504951028212,779087,20727
2261.84300325986,1.60203470563136,772875,19323
2265.42936858654,1.61292715935173,766871,18698
2268.11343367146,1.62237552576598,761690,18172
2271.68457523793,1.62739059163283,751498,17723
2274.35722250269,1.6427327943954,742632,16906
2277.91314030895,1.64881950253811,732889,16452
2280.57436975356,1.65289761528594,723795,16096
2283.23070584667,1.67967287361703,715348,14957
2286.76487542405,1.69980954257753,702657,14026
2289.40979369701,1.70357865412437,695643,13766
2292.92873951418,1.70370683226391,685031,13552
2295.56223996698,1.71977100667916,677484,12916
2299.06596202394,1.75243094695706,666213,11781
2301.68804465658,1.77703091813179,658539,11004
2305.17654295333,1.77875362633411,645715,10747
2307.78720776582,1.81030702012645,636613,9853
2310.3929792268,1.82318039383758,627946,9435
2313.85972929468,1.81986728197535,615380,9317
2316.45408293551,1.81849944007564,605083,9190
2319.90560924318,1.85328077078053,591480,8292
2322.48854506385,1.84591930919966,582240,8302
2325.92484761131,1.88095726934159,568364,7476
2328.49636561183,1.87983002519888,557488,7352
2331.91744439907,1.8985847808829,544324,6875
2334.47754457943,1.91197238828766,533521,6534
2337.88339960647,1.92754270079348,519227,6135
2340.43208196667,1.96889417028706,509285,5471
2342.97587097537,1.9793343500471,497838,5221
2346.35997777354,2.01856264956634,484471,4642
2348.89234896208,2.02687064378368,473509,4451
2352.26123200004,2.05539875055862,459420,4044
2354.78218536842,2.02004412234091,448426,4282
2358.13584464617,2.06993002466435,434877,3702
2360.6453801944,2.01165758798387,424647,4134
2363.98381571193,2.07862661229517,412393,3441
2366.48193344001,2.15740093304547,402883,2804
2368.97515781658,2.23043009589519,392173,2307
2372.29184510525,2.24521096965551,379896,2160
2374.77365166167,2.18703969006428,369960,2405
2378.07511519012,2.44943709426973,357471,1270
2380.54550392638,2.27050603046312,346752,1860
2383.83174369462,2.22648214260624,333708,1981
2386.29071461072,2.2783919065501,324060,1707
2389.56173061876,2.33528176757316,311850,1441
2392.0092837147,2.23236250958862,302058,1769
2394.45194345915,2.17715726466615,292467,1945
2397.70121123831,2.44570940877153,280742,1006
2400.1324531626,2.48172057391323,271965,897
